frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.00,-0.0032,-0.0016,0.0153,0.3000,0.0076
1,0.00,-0.0008,-0.0012,0.0030,0.4500,0.0053
2,0.00,+0.0017,+0.0003,0.0012,0.5250,0.0033
3,0.01,+0.0031,+0.0017,0.0008,0.5625,0.0021
4,0.01,+0.0044,+0.0030,0.0008,0.5812,0.0014
5,0.00,+0.0054,+0.0042,0.0007,0.5906,0.0011
6,0.00,+0.0061,+0.0051,0.0007,0.5953,0.0009
7,0.00,+0.0064,+0.0058,0.0007,0.5976,0.0008
8,0.00,+0.0067,+0.0062,0.0006,0.5988,0.0007
9,0.00,+0.0069,+0.0065,0.0006,0.5994,0.0007
10,0.00,+0.0071,+0.0068,0.0007,0.5997,0.0007
11,0.00,+0.0071,+0.0069,0.0007,0.5999,0.0007
12,0.00,+0.0072,+0.0071,0.0007,0.5999,0.0007
13,0.00,+0.0071,+0.0071,0.0007,0.6000,0.0007
14,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
15,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
16,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0007
17,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
18,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
19,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
20,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
21,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
22,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
23,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
24,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
25,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0007
26,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
27,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
28,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
29,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
30,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0006
31,0.00,+0.0074,+0.0073,0.0006,0.6000,0.0006
32,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0006
33,0.00,+0.0074,+0.0074,0.0006,0.6000,0.0006
34,0.00,+0.0075,+0.0074,0.0006,0.6000,0.0006
35,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
36,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
37,0.00,+0.0075,+0.0074,0.0006,0.6000,0.0007
38,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
39,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
40,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
41,0.00,+0.0075,+0.0074,0.0006,0.6000,0.0007
42,0.00,+0.0073,+0.0074,0.0006,0.6000,0.0007
43,0.00,+0.0075,+0.0074,0.0007,0.6000,0.0007
44,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
45,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
46,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
47,0.00,+0.0075,+0.0074,0.0006,0.6000,0.0007
48,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
49,0.00,+0.0075,+0.0074,0.0007,0.6000,0.0007
50,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
51,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
52,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
53,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
54,0.00,+0.0076,+0.0074,0.0007,0.6000,0.0007
55,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
56,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
57,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
58,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
59,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
60,0.00,+0.0075,+0.0074,0.0007,0.6000,0.0007
61,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
62,0.00,+0.0075,+0.0074,0.0007,0.6000,0.0007
63,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
64,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
65,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
66,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
67,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
68,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
69,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
70,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
71,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
72,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
73,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
74,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
75,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
76,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
77,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
78,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
79,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
80,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
81,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
82,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
83,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
84,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
85,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
86,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
87,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
88,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
89,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
90,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
91,0.00,+0.0071,+0.0072,0.0007,0.6000,0.0007
92,0.00,+0.0071,+0.0072,0.0007,0.6000,0.0007
93,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
94,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
95,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
96,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
97,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
98,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
99,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
100,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
101,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
102,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
103,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
104,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
